ENGINESIZE,CYLINDERS,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,CO2EMISSIONS
2.0,4.0,0,9.9,6.7,8.5,196.0
2.4,4.0,0,11.2,7.7,9.6,221.0
3.5,6.0,0,12.7,9.1,11.1,255.0
3.5,6.0,0,12.1,8.7,10.6,244.0
3.5,6.0,0,11.9,7.7,10.0,230.0
3.5,6.0,0,11.8,8.1,10.1,232.0
3.7,6.0,0,12.8,9.0,11.1,255.0
3.7,6.0,0,13.4,9.5,11.6,267.0
2.4,4.0,0,10.6,7.5,9.2,212.0
2.4,4.0,0,11.2,8.1,9.8,225.0
3.5,6.0,0,12.1,8.3,10.4,239.0
4.7,8.0,0,17.4,11.3,14.7,338.0
4.7,8.0,0,18.1,12.2,15.4,354.0
2.0,4.0,0,9.9,7.4,8.8,202.0
2.0,4.0,0,11.5,8.1,10.0,230.0
2.0,4.0,0,10.8,7.5,9.3,214.0
2.0,4.0,0,12.0,8.1,10.2,235.0
3.0,6.0,0,12.8,8.6,10.9,251.0
3.0,6.0,1,9.8,6.4,8.3,224.0
3.0,6.0,0,13.1,8.8,11.2,258.0
4.0,8.0,0,13.5,8.6,11.3,260.0
3.0,6.0,1,10.0,6.4,8.4,227.0
4.0,8.0,0,14.7,9.7,12.5,288.0
3.0,6.0,1,10.1,6.5,8.5,230.0
2.0,4.0,0,11.8,8.8,10.5,242.0
2.0,4.0,0,12.0,8.5,10.4,239.0
3.0,6.0,0,12.9,9.2,11.2,258.0
2.0,4.0,0,9.9,8.3,9.2,212.0
3.0,6.0,1,10.3,7.6,9.1,246.0
3.0,6.0,0,15.1,10.9,13.2,304.0
3.0,6.0,1,12.9,8.4,10.9,294.0
4.2,8.0,0,17.6,11.0,14.6,336.0
4.2,8.0,0,15.3,10.9,13.3,306.0
4.2,8.0,0,15.2,11.3,13.4,308.0
4.0,8.0,0,15.3,9.3,12.6,290.0
3.0,6.0,0,13.2,9.2,11.4,262.0
3.0,6.0,0,14.6,9.8,12.4,285.0
3.0,6.0,0,13.3,9.5,11.6,267.0
4.0,8.0,0,14.2,9.7,12.2,281.0
4.0,8.0,0,15.4,9.8,12.9,297.0
3.0,6.0,0,14.9,10.1,12.7,292.0
2.0,4.0,0,10.4,7.6,9.1,209.0
2.0,4.0,0,11.5,8.8,10.3,237.0
4.0,8.0,0,16.8,10.3,13.9,320.0
4.0,8.0,0,16.7,10.6,14.0,322.0
2.0,4.0,0,10.0,6.5,8.4,193.0
2.0,4.0,0,10.4,6.7,8.7,200.0
2.0,4.0,0,10.2,7.0,8.8,202.0
2.0,4.0,1,7.6,5.5,6.7,181.0
2.0,4.0,0,10.6,7.2,9.1,209.0
3.0,6.0,0,11.4,7.3,9.6,221.0
3.0,6.0,0,11.8,7.9,10.0,230.0
3.0,6.0,0,11.7,7.8,9.9,228.0
3.0,6.0,0,11.9,8.3,10.3,237.0
3.0,6.0,0,11.9,8.0,10.1,232.0
3.0,6.0,1,9.2,6.4,7.9,213.0
3.0,6.0,0,12.5,8.6,10.7,246.0
4.4,8.0,0,14.4,9.6,12.2,281.0
4.4,8.0,0,15.0,9.8,12.7,292.0
3.0,6.0,0,9.2,7.1,8.3,191.0
3.0,6.0,0,10.5,7.9,9.3,214.0
3.0,6.0,0,10.5,7.6,9.2,212.0
4.4,8.0,0,17.3,11.5,14.7,338.0
4.4,8.0,0,16.2,10.9,13.8,317.0
3.0,6.0,0,13.2,8.9,11.3,260.0
2.0,4.0,0,11.2,8.5,10.0,230.0
3.0,6.0,0,12.6,9.1,11.0,253.0
3.0,6.0,0,12.9,8.8,11.1,255.0
4.4,8.0,0,16.3,10.9,13.9,320.0
4.4,8.0,0,18.1,13.65,16.1,370.0
3.0,6.0,0,13.6,9.8,11.9,274.0
4.4,8.0,0,16.4,11.3,14.1,324.0
2.0,4.0,0,10.8,7.1,9.1,209.0
3.0,6.0,0,13.7,10.1,12.1,278.0
3.0,6.0,0,12.7,9.0,11.0,253.0
